Event 1 BX 0
HwTrack 2 Rinv: 100000010011010, t: 11110000101101, phi: 0001010011111000111, Z0: 00001010101, Q: 1, Sector: 10010, HwValid: 1, BX: 011

Event 20 BX 11
HwTrack 1 Rinv: 000000001100101, t: 00001001111000, phi: 0001011011111100101, Z0: 10000001000, Q: 0, Sector: 01110, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000001110000, t: 11110110000110, phi: 0000101011110000010, Z0: 10000001010, Q: 1, Sector: 00001, HwValid: 1, BX: 100

Event 21 BX 100
HwTrack 1 Rinv: 000000010001111, t: 00000010001101, phi: 0001011001001110110, Z0: 10000110011, Q: 0, Sector: 01100, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000010010000, t: 11111101110011, phi: 0000101001010011000, Z0: 10000110001, Q: 1, Sector: 11010, HwValid: 1, BX: 101

Event 22 BX 101
HwTrack 1 Rinv: 000000001111011, t: 00000111000011, phi: 0000101111011110101, Z0: 00000100111, Q: 0, Sector: 11010, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000001111100, t: 11111000111111, phi: 0001011111100000100, Z0: 00000100100, Q: 1, Sector: 01100, HwValid: 1, BX: 110

Event 23 BX 110
HwTrack 1 Rinv: 000000010101100, t: 11110110011000, phi: 0000111100001001000, Z0: 00000101000, Q: 0, Sector: 00111, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000010100101, t: 00001001101001, phi: 0001101100001010100, Z0: 00000110000, Q: 1, Sector: 10100, HwValid: 1, BX: 111

Event 24 BX 111
HwTrack 1 Rinv: 000000011011010, t: 00001111111000, phi: 0000011110001000010, Z0: 10001000110, Q: 0, Sector: 11011, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000011011011, t: 11110000001000, phi: 0001001110011000100, Z0: 10001000111, Q: 1, Sector: 01101, HwValid: 1, BX: 000

Event 25 BX 0
HwTrack 1 Rinv: 000000010101100, t: 11110111001111, phi: 0000100100100000100, Z0: 10001001000, Q: 0, Sector: 01001, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000010011011, t: 00001000101111, phi: 0001010100010001011, Z0: 10001000010, Q: 1, Sector: 10110, HwValid: 1, BX: 001

Event 26 BX 1
HwTrack 1 Rinv: 000000011100011, t: 11111000010010, phi: 0001101000110111011, Z0: 00000110011, Q: 0, Sector: 01101, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000011011101, t: 00000111101100, phi: 0000111000110000000, Z0: 00000111101, Q: 1, Sector: 11011, HwValid: 1, BX: 010

Event 27 BX 10
HwTrack 1 Rinv: 000000010101010, t: 00001001011000, phi: 0001000100100010110, Z0: 00001111010, Q: 0, Sector: 01100, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000010110001, t: 11110110100101, phi: 0000010100100111110, Z0: 00001111001, Q: 1, Sector: 11010, HwValid: 1, BX: 011

Event 28 BX 11
HwTrack 1 Rinv: 000000001000111, t: 00000100011100, phi: 0001011100101010000, Z0: 00001011101, Q: 0, Sector: 00111, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000001000011, t: 11111011011100, phi: 0000101100101011000, Z0: 00001101100, Q: 1, Sector: 10101, HwValid: 1, BX: 100

Event 29 BX 100
HwTrack 1 Rinv: 000000001110100, t: 11110100001110, phi: 0001000111111001011, Z0: 00001000111, Q: 0, Sector: 10111, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000001110110, t: 00001011110001, phi: 0000010111111011010, Z0: 00001000010, Q: 1, Sector: 01010, HwValid: 1, BX: 101

Event 30 BX 101
HwTrack 1 Rinv: 000010011101011, t: 00000011111011, phi: 0001111000011001011, Z0: 10000111110, Q: 0, Sector: 11001, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100010011100001, t: 11111100000010, phi: 0001001000101010001, Z0: 10000111011, Q: 1, Sector: 01100, HwValid: 1, BX: 110

Event 31 BX 110
HwTrack 1 Rinv: 000000010101111, t: 00001100011011, phi: 0000010011010011000, Z0: 10000010111, Q: 0, Sector: 00111, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000010100010, t: 11110011110001, phi: 0001000011010001100, Z0: 10001001101, Q: 1, Sector: 10100, HwValid: 1, BX: 111

Event 32 BX 111
HwTrack 1 Rinv: 000000001101101, t: 11110110101110, phi: 0001100000101111101, Z0: 10000010001, Q: 0, Sector: 00101, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000001101000, t: 00001001010011, phi: 0000110000101101011, Z0: 10000001101, Q: 1, Sector: 10011, HwValid: 1, BX: 000

Event 33 BX 0
HwTrack 1 Rinv: 000000010110100, t: 00000001101010, phi: 0000100001011010000, Z0: 10001101101, Q: 0, Sector: 00100, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000010110001, t: 11111110010111, phi: 0001010001011010001, Z0: 10001101110, Q: 1, Sector: 10001, HwValid: 1, BX: 001

Event 34 BX 1
HwTrack 1 Rinv: 000000001010001, t: 11110110111101, phi: 0000100011011001010, Z0: 00000011110, Q: 0, Sector: 01000, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000001001011, t: 00001001000101, phi: 0001010011010111111, Z0: 00000100011, Q: 1, Sector: 10101, HwValid: 1, BX: 010

Event 35 BX 10
HwTrack 1 Rinv: 000000010001000, t: 00001100000110, phi: 0000110110000111000, Z0: 00000000010, Q: 0, Sector: 11011, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000001111011, t: 11110011110111, phi: 0001100110010101100, Z0: 00000001000, Q: 1, Sector: 01101, HwValid: 1, BX: 011

Event 36 BX 11
HwTrack 1 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000
HwTrack 2 Rinv: 000000000000000, t: 00000000000000, phi: 0000000000000000000, Z0: 00000000000, Q: 0, Sector: 00000, HwValid: 0, BX: 000

Event 37 BX 100
HwTrack 1 Rinv: 000000011111100, t: 00010000111000, phi: 0001000000001011101, Z0: 00001010101, Q: 0, Sector: 01111, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100000100000001, t: 11101111001001, phi: 0000010000001011100, Z0: 00001011101, Q: 1, Sector: 00010, HwValid: 1, BX: 101

Event 38 BX 101
HwTrack 1 Rinv: 000000101001000, t: 00000101000101, phi: 0001011011110010101, Z0: 00001110010, Q: 0, Sector: 01011, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000101001011, t: 11111010111110, phi: 0000101011101111011, Z0: 00001110100, Q: 1, Sector: 11001, HwValid: 1, BX: 110

Event 39 BX 110
HwTrack 1 Rinv: 000000110000110, t: 00000111010110, phi: 0000111001001000111, Z0: 00000110010, Q: 0, Sector: 11010, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000101110000, t: 11111000101011, phi: 0001101000111101100, Z0: 00000101110, Q: 1, Sector: 01100, HwValid: 1, BX: 111

Event 40 BX 111
HwTrack 1 Rinv: 000000110000110, t: 00010010101100, phi: 0001000111101110111, Z0: 00000001111, Q: 0, Sector: 01001, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000110000101, t: 11101101010111, phi: 0000011000001100011, Z0: 00000011000, Q: 1, Sector: 10111, HwValid: 1, BX: 000

Event 41 BX 0
