Event 1 BX 0
SwTrack 2 pT: 55.7373, eta: -1.53095, phi: -1.73739, sector: 20, Q: -1

Event 32 BX 111
SwTrack 1 pT: 82.8392, eta: -1.16182, phi: 1.12657, sector: 5, Q: 1
SwTrack 2 pT: 86.8214, eta: 1.16293, phi: -2.01511, sector: 19, Q: -1

Event 33 BX 0
SwTrack 1 pT: 50.1637, eta: 0.209404, phi: 0.740326, sector: 4, Q: 1
SwTrack 2 pT: 51.0138, eta: -0.20558, phi: -2.40126, sector: 17, Q: -1

Event 34 BX 1
SwTrack 1 pT: 111.475, eta: -1.13138, phi: 1.67599, sector: 8, Q: 1
SwTrack 2 pT: 120.393, eta: 1.13593, phi: -1.46566, sector: 21, Q: -1

Event 35 BX 10
SwTrack 1 pT: 66.3929, eta: 1.51387, phi: -0.140331, sector: 27, Q: 1
SwTrack 2 pT: 73.4101, eta: -1.51878, phi: 3.00181, sector: 13, Q: -1

Event 36 BX 11
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0

Event 37 BX 100
SwTrack 1 pT: 35.8311, eta: 2.10976, phi: -2.90844, sector: 15, Q: 1
SwTrack 2 pT: 35.134, eta: -2.10883, phi: 0.233146, sector: 2, Q: -1

Event 38 BX 101
SwTrack 1 pT: 27.5288, eta: 0.635947, phi: 2.51083, sector: 11, Q: 1
SwTrack 2 pT: 27.2793, eta: -0.631094, phi: -0.630887, sector: 25, Q: -1

Event 39 BX 110
SwTrack 1 pT: 23.1524, eta: 0.919521, phi: -0.365698, sector: 26, Q: 1
SwTrack 2 pT: 24.5366, eta: -0.916829, phi: 2.77546, sector: 12, Q: -1

Event 40 BX 111
SwTrack 1 pT: 23.1524, eta: 2.33704, phi: 1.99678, sector: 9, Q: 1
SwTrack 2 pT: 23.212, eta: -2.33179, phi: -1.14369, sector: 23, Q: -1

Event 41 BX 0
SwTrack 1 pT: 117.266, eta: 0.00390624, phi: 2.9422, sector: 13, Q: 1
SwTrack 2 pT: 130.862, eta: -0.0156244, phi: -0.199522, sector: 27, Q: -1

Event 42 BX 1
SwTrack 1 pT: 29.508, eta: -2.40116, phi: -2.98047, sector: 15, Q: 1
SwTrack 2 pT: 28.2171, eta: 2.39834, phi: 0.162379, sector: 1, Q: -1

Event 43 BX 10
SwTrack 1 pT: 49.3413, eta: -2.078, phi: -0.195493, sector: 27, Q: 1
SwTrack 2 pT: 44.9226, eta: 2.07752, phi: 2.94595, sector: 13, Q: -1

Event 44 BX 11
SwTrack 1 pT: 27.8686, eta: 2.3752, phi: -0.471155, sector: 25, Q: 1
SwTrack 2 pT: 27.2793, eta: -2.38202, phi: 2.66956, sector: 12, Q: -1

Event 45 BX 100
SwTrack 1 pT: 43.2031, eta: 2.0751, phi: 2.92951, sector: 13, Q: 1
SwTrack 2 pT: 43.4109, eta: -2.07944, phi: -0.211519, sector: 27, Q: -1

Event 46 BX 101
SwTrack 1 pT: 125.409, eta: -0.0819395, phi: 1.88042, sector: 9, Q: 1
SwTrack 2 pT: 132.786, eta: 0.0683063, phi: -1.26114, sector: 22, Q: -1

Event 47 BX 110
SwTrack 1 pT: 35.134, eta: -1.33651, phi: 2.25914, sector: 10, Q: 1
SwTrack 2 pT: 36.5565, eta: 1.34512, phi: -0.882351, sector: 24, Q: -1

Event 48 BX 111
SwTrack 1 pT: 155.68, eta: -0.00390624, phi: 0.0198518, sector: 1, Q: 1
