Event 1 BX 0
SwMuon 1 pT: 63, eta: 2.12063, phi: -2.95615, Q: 1
SwMuon 2 pT: 45.5, eta: -2.10975, phi: 0.261799, Q: -1

Event 38 BX 101
SwMuon 1 pT: 34.5, eta: 0.6525, phi: 2.41074, Q: 1
SwMuon 2 pT: 35.5, eta: -0.609, phi: -0.556324, Q: -1

Event 39 BX 110
SwMuon 1 pT: 25.5, eta: 0.924375, phi: -0.469057, Q: 1
SwMuon 2 pT: 30.5, eta: -0.924375, phi: 2.86889, Q: -1

Event 40 BX 111
SwMuon 1 pT: 31.5, eta: 2.32725, phi: 1.95259, Q: 1
SwMuon 2 pT: 27.5, eta: -2.33812, phi: -1.12356, Q: -1

Event 41 BX 0
SwMuon 1 pT: 140, eta: 0, phi: 2.91252, Q: 1
SwMuon 2 pT: 111.5, eta: 0, phi: -0.185441, Q: -1

Event 42 BX 1
SwMuon 1 pT: 33, eta: -2.3925, phi: -3.03251, Q: 1
SwMuon 2 pT: 52.5, eta: 2.41425, phi: 0.185441, Q: -1

Event 43 BX 10
SwMuon 1 pT: 109.5, eta: -2.06625, phi: -0.229074, Q: 1
SwMuon 2 pT: 84.5, eta: 2.07713, phi: 2.94524, Q: -1

Event 44 BX 11
SwMuon 1 pT: 49.5, eta: 2.38162, phi: -0.501782, Q: 1
SwMuon 2 pT: 31, eta: -2.3925, phi: 2.69435, Q: -1

Event 45 BX 100
SwMuon 1 pT: 68, eta: 2.07713, phi: 2.8907, Q: 1
SwMuon 2 pT: 61.5, eta: -2.088, phi: -0.207258, Q: -1

Event 46 BX 101
SwMuon 1 pT: 140, eta: -0.076125, phi: 1.85441, Q: 1
SwMuon 2 pT: 111.5, eta: 0.06525, phi: -1.24355, Q: -1

Event 47 BX 110
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 35.5, eta: 1.31588, phi: -0.829031, Q: -1

Event 48 BX 111
SwMuon 1 pT: 140, eta: 0, phi: 0, Q: 1
SwMuon 2 pT: 140, eta: 0, phi: -3.10887, Q: -1

Event 49 BX 0
SwMuon 1 pT: 7.5, eta: -1.653, phi: -1.40717, Q: 1
SwMuon 2 pT: 15, eta: 1.64213, phi: 2.07258, Q: -1

Event 50 BX 1
SwMuon 1 pT: 24, eta: 0.641625, phi: 0.119991, Q: 1
SwMuon 2 pT: 28, eta: -0.685125, phi: -2.81434, Q: -1

Event 51 BX 10
SwMuon 1 pT: 81.5, eta: 0.554625, phi: 0.916298, Q: 1
SwMuon 2 pT: 89.5, eta: -0.554625, phi: -2.15985, Q: -1

Event 52 BX 11
SwMuon 1 pT: 140, eta: 0.163125, phi: 1.18901, Q: 1
SwMuon 2 pT: 140, eta: -0.163125, phi: -1.91986, Q: -1

Event 53 BX 100
SwMuon 1 pT: 140, eta: 0.80475, phi: -0.534507, Q: 1
SwMuon 2 pT: 140, eta: -0.80475, phi: 2.63981, Q: -1

Event 54 BX 101
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 55 BX 110
SwMuon 1 pT: 0, eta: 0, phi: 0, Q: 0
SwMuon 2 pT: 0, eta: 0, phi: 0, Q: 0

Event 56 BX 111
