00 0.0025983 0.103591 -2.38672 -2.87109 111000000 000000000 111111111|111111111|111111111|111111111
BX= 010 event= 19 seed= CT_L1L2 phisector= 10
00 0.000145192 0.0702696 -0.15625 2.22656 000000000 000000000 000000000|000000000|000000000|000000000
BX= 010 event= 19 seed= CT_L1L2 phisector= 23
00 -0.000145192 0.186625 0.154297 2.16797 001000000 010000000 001000000|010000000|001000000|010000000
BX= 011 event= 20 seed= CT_L3L4 phisector= 12
00 -0.00027902 0.052108 0.396484 0.761719 000000000 000000000 000000000|000000000|000000000|000000000
BX= 011 event= 20 seed= CT_L1L2 phisector= 25
00 0.000285333 0.168302 -0.408203 0.9375 001000000 010000000 001000000|010000000|001000000|001000000
BX= 100 event= 21 seed= CT_L3L4 phisector= 6
00 9.97403e-05 0.111379 -0.175781 -1.23047 000000000 001000000 000000000|001000000|000000000|001000000
BX= 100 event= 21 seed= CT_L1L2 phisector= 19
00 -9.34276e-05 0.227924 0.167969 -1.11328 010000000 010000000 010000000|010000000|010000000|111111111
BX= 101 event= 22 seed= CT_L1L2 phisector= 12
00 -0.000198218 0.17458 0.207031 1.64062 001000000 010000000 001000000|010000000|001000000|010000000
BX= 101 event= 22 seed= CT_L1L2 phisector= 26
00 0.000202006 0.0582723 -0.216797 1.69922 000000000 000000000 111111111|000000000|000000000|000000000
BX= 110 event= 23 seed= CT_L1L2 phisector= 13
00 0.000195693 0.22121 -0.775391 1.40625 010000000 010000000 010000000|010000000|010000000|010000000
BX= 110 event= 23 seed= CT_L1L2 phisector= 27
00 -0.000190643 0.104983 0.773438 1.58203 000000000 001000000 000000000|001000000|000000000|001000000
BX= 111 event= 24 seed= CT_L1L2 phisector= 3
00 -0.00026387 0.113354 -1.15234 -6.62109 001000000 001000000 001000000|111111111|001000000|111111111
BX= 111 event= 24 seed= CT_L1L2 phisector= 16
00 0.000267658 0.229903 1.15039 -6.5625 010000000 010000000 010000000|010000000|010000000|111111111
BX= 000 event= 25 seed= CT_L1L2 phisector= 18
00 -0.000178018 0.261459 -1.86914 3.28125 010000000 011000000 010000000|111111111|010000000|010000000
BX= 001 event= 26 seed= CT_L1L2 phisector= 7
00 -7.70147e-05 0.121184 0.791016 5.09766 001000000 001000000 001000001|001000000|001000000|001000000
BX= 001 event= 26 seed= CT_L1L2 phisector= 20
00 7.95397e-05 0.237549 -0.789062 5.21484 010000000 011000001 010000000|011000000|010000000|010000000
BX= 010 event= 27 seed= CT_L3L4 phisector= 6
00 8.58524e-05 0.194546 0.923828 -8.37891 001000000 010000000 001000000|010000000|001000000|010000000
BX= 010 event= 27 seed= CT_L1L2 phisector= 20
00 -7.95397e-05 0.0784792 -0.929688 -8.4375 000000000 001000000 000000000|111111111|000000000|001000000
BX= 100 event= 29 seed= CT_L1L2 phisector= 11
00 8.20648e-05 0.0598963 -0.353516 -4.04297 000000000 000000000 000000000|000000000|000000000|000000000
BX= 100 event= 29 seed= CT_L1L2 phisector= 24
00 -8.20648e-05 0.17627 0.353516 -4.16016 001000000 010000000 111111111|010000000|001000000|010000000
BX= 101 event= 30 seed= CT_L1L2 phisector= 7
00 0.000114891 0.201932 1.21875 -0.292969 010000001 010000000 010000000|010000000|010000000|010000000
BX= 101 event= 30 seed= CT_L3L4 phisector= 21
00 -0.000107316 0.0853253 -1.22461 -0.351562 000000000 001000000 000000000|001000000|000000000|111111111
BX= 110 event= 31 seed= CT_L1L2 phisector= 11
00 -7.82772e-05 0.0587032 -0.535156 5.03906 000000000 000000000 000000000|000000000|000000000|000000000
BX= 110 event= 31 seed= CT_L1L2 phisector= 24
00 8.08023e-05 0.175148 0.533203 5.15625 001000000 010000001 001000000|010000000|001000000|010000000
BX= 111 event= 32 seed= CT_L1L2 phisector= 12
00 0.000297958 0.182946 2.75586 -2.69531 001000000 010000000 001000000|001000000|001000001|001000000
BX= 111 event= 32 seed= CT_D1D2 phisector= 12
00 0.000301746 0.183178 2.75195 -2.98828 001000001 001000000 111111111|001000000|001000000|001000000
BX= 111 event= 32 seed= CT_D1D2 phisector= 26
00 -0.000299221 0.066534 -2.76758 -1.75781 000000000 000000000 111111111|111111111|111111111|111111111
BX= 000 event= 33 seed= CT_L1L2 phisector= 2
00 -0.000373711 0.230973 -1.10742 0.0585938 010000000 011000000 010000001|011000000|010000000|111111111
BX= 000 event= 33 seed= CT_L3L4 phisector= 16
00 0.000381286 0.114779 1.10156 0.585938 000000000 001000000 000000000|001000000|000000000|111111111
BX= 001 event= 34 seed= CT_D1D2 phisector= 7
00 -0.000410324 0.0469853 -4.85938 1.28906 000000000 000000000 111111111|111111111|111111111|111111111
BX= 001 event= 34 seed= CT_D1D2 phisector= 20
00 0.000412849 0.162469 4.84375 0.878906 001000000 001000000 111111111|001000000|001000000|001000000
BX= 010 event= 35 seed= CT_L1L2 phisector= 9
00 -9.97403e-05 0.125673 0.0878906 7.08984 001000000 001000000 001000000|001000000|001000000|001000000
BX= 010 event= 35 seed= CT_L1L2 phisector= 22
00 9.84778e-05 0.242038 -0.09375 7.20703 010000000 011000000 010000000|011000000|010000000|011000000
BX= 011 event= 36 seed= CT_L1L2 phisector= 1
00 0.000483551 0.142689 -1.32812 2.05078 001000000 001000000 001000000|001000000|001000000|001000000
BX= 011 event= 36 seed= CT_L1L2 phisector= 14
00 -0.000487339 0.258916 1.32617 1.99219 010000000 011000000 000000000|000000000|111111111|000000000
BX= 011 event= 36 seed= CT_L3L4 phisector= 15
00 -0.000487339 0.0262339 1.32617 1.99219 000000000 000000000 010000000|011000000|111111111|000000000
BX= 100 event= 37 seed= CT_L3L4 phisector= 1
00 0.000199481 0.0999218 0.271484 -1.99219 000000000 001000000 000000000|001000000|000000000|001000000
BX= 100 event= 37 seed= CT_L5L6 phisector= 14
00 -0.000198218 0.21623 -0.273438 -1.875 010000000 010000000 010000000|010000000|010000000|010000000
BX= 101 event= 38 seed= CT_D1D2 phisector= 12
00 -0.000488601 0.0344057 -3.99023 -3.69141 000000001 000000000 111111111|111111111|111111111|111111111
BX= 101 event= 38 seed= CT_D1D2 phisector= 25
00 0.000484814 0.150605 4.01367 -3.63281 001000000 001000000 111111111|001000000|001000000|001000000
BX= 110 event= 39 seed= CT_L1L2 phisector= 3
00 0.000150242 0.251942 -1.32422 6.79688 010000000 011000000 010000001|011000000|010000000|010000000
BX= 110 event= 39 seed= CT_L3L4 phisector= 17
00 -0.000142667 0.135748 1.32031 6.97266 001000000 001000000 001000000|001000000|111111111|001000000
BX= 111 event= 40 seed= CT_L1L2 phisector= 13
00 -0.000402749 0.180034 0.169922 3.98438 001000000 010000000 001000000|010000000|010000000|010000000
BX= 111 event= 40 seed= CT_L5L6 phisector= 27
00 0.000402749 0.0634992 -0.179688 3.63281 000000000 000000000 000000000|000000000|000000000|000000000
BX= 010 event= 43 seed= CT_D1D2 phisector= 6
00 0.000501227 0.192628 -4.91797 5.74219 001000000 001000000 111111111|111111111|111111111|111111111
BX= 010 event= 43 seed= CT_D1D2 phisector= 20
00 -0.000525215 0.0769831 4.89648 5.56641 000000000 000000000 111111111|000000000|000000000|000000000
BX= 011 event= 44 seed= CT_L5L6 phisector= 11
00 0.000753734 0.212347 0.914062 0.117188 001000000 010000000 010000000|010000000|001000000|010000000
BX= 011 event= 44 seed= CT_L1L2 phisector= 25
00 -0.000734796 0.0963283 -0.919922 0.292969 000000000 001000000 000000000|001000000|001000000|111111111
BX= 101 event= 46 seed= CT_D1D2 phisector= 5
00 0.00195946 0.117747 -4.19531 -2.87109 000000000 000000000 111111111|111111111|111111111|111111111
BX= 101 event= 46 seed= CT_D1D2 phisector= 18
00 -0.00196829 0.236157 4.20312 -2.28516 010000001 111000000 111111111|000000000|000000000|000000000
BX= 101 event= 46 seed= CT_D3D4 phisector= 19
00 -0.00199859 0.00364557 4.20898 -2.46094 000000000 000000000 111111111|010000000|000000000|000000000
BX= 110 event= 47 seed= CT_L1L2 phisector= 13
00 -0.000334572 0.0845394 -1.57812 -6.21094 000000000 001000000 000000000|111111111|000000000|000000000
BX= 110 event= 47 seed= CT_L1L2 phisector= 26
00 0.000335834 0.200293 1.57227 -5.97656 010000001 010000000 001000000|010000000|001000000|001000000
BX= 111 event= 48 seed= CT_D1D2 phisector= 9
00 -0.00207435 0.243837 -5.10156 -2.92969 010000000 111000000 111111111|111111111|111111111|111111111
BX= 111 event= 48 seed= CT_D3D4 phisector= 10
00 -0.00209707 0.0107237 -5.10938 -2.92969 000000000 000000000 111111111|111111111|111111111|111111111
BX= 111 event= 48 seed= CT_D1D2 phisector= 23
00 0.00209202 0.125185 5.09961 -2.87109 000000001 000000000 111111111|000000000|000000000|000000001
BX= 000 event= 49 seed= CT_L1L2 phisector= 10
00 -6.94395e-05 0.0873848 -0.154297 5.39062 000000000 001000000 000000000|001000000|000000000|001000000
BX= 000 event= 49 seed= CT_L1L2 phisector= 23
00 7.44896e-05 0.203679 0.154297 5.27344 010000000 010000000 010000000|010000000|010000000|010000000
BX= 001 event= 50 seed= CT_D1L2 phisector= 4
00 -0.000272708 0.247549 -2.25 -4.21875 010000010 011000000 111111111|111111111|111111111|111111111
BX= 001 event= 50 seed= CT_D1L2 phisector= 18
00 0.000272708 0.130497 2.25586 -4.86328 001000010 001000000 111111111|111111111|111111111|111111111
BX= 010 event= 51 seed= CT_D1D2 phisector= 12
00 0.000300483 0.0592903 -4.91016 -0.234375 000000000 000000000 111111111|111111111|111111111|111111111
BX= 010 event= 51 seed= CT_D1D2 phisector= 25
00 -0.000326997 0.17592 4.875 -0.644531 001000000 001000000 111111111|001000000|001000000|001000000
01 -0.000318159 0.176285 4.96094 -3.51562 001000000 001000001 111111111|001000001|001000000|001000001
BX= 011 event= 52 seed= CT_L1L2 phisector= 2
00 -0.00025377 0.139147 1.70312 -5.39062 001000000 001000000 001000000|111111111|001000000|001000000
BX= 011 event= 52 seed= CT_L1L2 phisector= 15
00 0.000242407 0.25591 -1.71484 -5.44922 010000001 011000000 010000000|010000000|010000000|010000000
BX= 100 event= 53 seed= CT_L1L2 phisector= 3
00 -9.97403e-05 0.219198 1.56836 -5.09766 010000000 010000001 010000000|111111111|010000000|010000000
BX= 100 event= 53 seed= CT_L1L2 phisector= 17
00 0.000113628 0.102886 -1.57617 -5.39062 000000000 001000000 000000000|001000000|000000000|000000000
BX= 101 event= 54 seed= CT_L1L2 phisector= 4
00 0.000178018 0.15942 1.87305 -2.34375 001000000 010000000 111111111|001000000|001000000|001000000
BX= 101 event= 54 seed= CT_L1L2 phisector= 18
00 -0.000188118 0.043548 -1.87305 -2.16797 000000000 000000000 000000000|000000000|000000000|000000000
BX= 110 event= 55 seed= CT_D3D4 phisector= 11
00 -0.000512589 0.0594891 -4.76367 0.351562 000000001 000000000 111111111|111111111|111111111|111111111
BX= 110 event= 55 seed= CT_D1D2 phisector= 24
00 0.000493651 0.176815 4.73633 0.9375 001000000 001000000 111111111|001000000|001000000|001000000
BX= 011 event= 60 seed= CT_L1L2 phisector= 3
00 -0.000132566 0.0901214 -1.92188 8.78906 000000001 001000000 000000000|000000000|000000000|000000000
BX= 011 event= 60 seed= CT_L1L2 phisector= 16
00 0.000133829 0.206647 1.92188 9.02344 010000000 010000000 010000000|010000000|010000000|010000000
